doc_id,dominant_topic,topic_label,dominant_prob,top_terms_of_topic,tokens_preview
238,1,인증,0.5056,"인증,최악,대출,개선,금리,오류,인증서,담보,고객,짜증",인증서 하루 인증 주민 번호 입력
247,1,인증,0.6263,"인증,최악,대출,개선,금리,오류,인증서,담보,고객,짜증",인증서 등록 시도 지금 계좌 본인인증 다음 단계 인내심 시험
251,1,인증,0.6613,"인증,최악,대출,개선,금리,오류,인증서,담보,고객,짜증",인증
253,1,인증,0.5978,"인증,최악,대출,개선,금리,오류,인증서,담보,고객,짜증",테스트 안해 보나 개발비 문제 감독 수하 최악
257,1,인증,0.6933,"인증,최악,대출,개선,금리,오류,인증서,담보,고객,짜증",대출 연장 인증 로그인 해외 로밍 기가 인생 최악 대기업 총괄 책임자 마라 앱이지
258,1,인증,0.6699,"인증,최악,대출,개선,금리,오류,인증서,담보,고객,짜증",증권사 최적화 개판 인증 오류 공동인증서 신규 발급 영업점 방문 할거 그전 본인인증 인증 번호 똥개 훈련 짓거리
259,1,인증,0.6465,"인증,최악,대출,개선,금리,오류,인증서,담보,고객,짜증",1월30일 기준 종료
269,1,인증,0.6427,"인증,최악,대출,개선,금리,오류,인증서,담보,고객,짜증",고객 멘탈 부시 인터페이스 하나하나 직조 금지
274,1,인증,0.771,"인증,최악,대출,개선,금리,오류,인증서,담보,고객,짜증",인증 과정 세션 종료 쿠키 설정 변경 검색
287,1,인증,0.6613,"인증,최악,대출,개선,금리,오류,인증서,담보,고객,짜증",패스 인증
288,1,인증,0.8601,"인증,최악,대출,개선,금리,오류,인증서,담보,고객,짜증",오류 수고 아이폰 패스 인증 인증 짜증 금융감독원 감독
301,1,인증,0.6623,"인증,최악,대출,개선,금리,오류,인증서,담보,고객,짜증",표시 다음
302,1,인증,0.6622,"인증,최악,대출,개선,금리,오류,인증서,담보,고객,짜증",아이폰 개선
