doc_id,dominant_topic,topic_label,dominant_prob,top_terms_of_topic,tokens_preview
142,2,가입,0.7776,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",설치 제거 설치 계속
145,2,가입,0.6658,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",요즘 세대
146,2,가입,0.6664,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",설치 어제
147,2,가입,0.7705,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",업뎃했는데 사용자 편의성 고민
148,2,가입,0.7705,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",공공기관 그런지 사용자 편의성
149,2,가입,0.4904,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",증권 회사 불편
150,2,가입,0.6662,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",영국 다운로드 상태
152,2,가입,0.6641,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",불편
153,2,가입,0.6515,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",신분증
154,2,가입,0.5445,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",공동인증서 발행 신분증 사진 인식 테스트 의심
155,2,가입,0.8276,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",컨텐츠 다운로드 메세지 네트워크 오류
156,2,가입,0.6664,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",설치 일인자
157,2,가입,0.6662,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",이제 다운로드
158,2,가입,0.3881,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",거지 사진 인증 오류 인내심 테스트
164,2,가입,0.7769,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",쓰레기 주소지 적용 가입 불가 주소 적용
166,2,가입,0.6664,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",설치
169,2,가입,0.6659,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",관리 주소
171,2,가입,0.6641,"쓰레기,가입,오류,우리사주,불편,설치,관리,처음,비밀번호,디자인",완전 쓰레기
