doc_id,dominant_topic,topic_label,dominant_prob,top_terms_of_topic,tokens_preview
99,0,로그인,0.3333,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",불량
100,0,로그인,0.7696,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",공동인증서 발급 인식
102,0,로그인,0.3333,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",해외
103,0,로그인,0.6661,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",금융인증서
104,0,로그인,0.7777,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",공동인증서 등록 대출금
105,0,로그인,0.3333,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",개불
109,0,로그인,0.3333,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",연장 건강보험 공단 API 연동 오류메시지
110,0,로그인,0.6665,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",간편인증 등록 페이지 가시 가독성 할거
112,0,로그인,0.3333,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",성의
114,0,로그인,0.6665,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",공동인증서 이건
115,0,로그인,0.6638,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",로그인 도안
116,0,로그인,0.3333,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",옆집 중학생
117,0,로그인,0.874,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",로그인 바이오인증 바이오 등록 완료 위치 지문 간편인증 등록 신분증 인증 간편인증 등록 버림
118,0,로그인,0.7735,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",증권사 공동인증서 인식
119,0,로그인,0.9242,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",타기관 공동인증서 등록 발급 키움증권 공동인증서 폐기 인증서 발급 귀사 인증서 폐기
120,0,로그인,0.3333,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",개안
121,0,로그인,0.3781,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",편의성 안정 북한앱 부족 로그인 아이 비밀번호 인증서 등록 회사 직원 수준 대학동 아리 직원 오점 평점 평점 관리 공공기관
122,0,로그인,0.8431,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",방법 유합 타기관 공동인증서 등록 금융 인증서 한국증권금융 타기관 인증서 모바일 이동 타기관 인증서 등록 개선
123,0,로그인,0.4603,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",증권사 불편 사주 주관 사가
125,0,로그인,0.7746,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",인증서 등록 하루 종일 낭비
126,0,로그인,0.8089,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",와우 최고 공동인증서 분실 발급 이건 하늘 별따기 인증서 비밀번호 발행 하늘 별따기 방법 방법 인증서 분실 로그인
128,0,로그인,0.8546,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",공동인증서 등록 문제 에선 인터넷익스플로러 윈도우 익스플로러 인증서 등록
129,0,로그인,0.6367,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",공동인증서 등록 쓰레기
130,0,로그인,0.828,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",공동인증서 등록 조회
133,0,로그인,0.6652,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",외국 신청 방법
136,0,로그인,0.6626,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",감사
138,0,로그인,0.7777,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",공동인증서 등록
141,0,로그인,0.3333,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",사용성
143,0,로그인,0.3333,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",외국 네트워크 오류로 시도 재설치
144,0,로그인,0.3333,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",이자
151,0,로그인,0.6509,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",사우디 증권사 은행
159,0,로그인,0.6626,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",감사
162,0,로그인,0.3333,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",안드로이드 은행앱
163,0,로그인,0.3333,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",안드로이드 업그레이드
167,0,로그인,0.3333,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",업그레이드
168,0,로그인,0.3333,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",베리
170,0,로그인,0.6517,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",인증서 갱신 오류 나니
176,0,로그인,0.3333,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",모양 정상
178,0,로그인,0.6661,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",매도 상환 요새 사내 거래
180,0,로그인,0.4536,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",불편 로그인
181,0,로그인,0.3333,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",기획자 미인
187,0,로그인,0.5018,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",공동인증서 비밀번호 입력
193,0,로그인,0.3333,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",조작
198,0,로그인,0.6661,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",거래
205,0,로그인,0.6634,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",글자 현상 최적화 필요
206,0,로그인,0.3333,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",해진 커서 읽기
210,0,로그인,0.7454,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",완전 쓰레기 잔고 조회 로그인 로그인 로그인 설계
212,0,로그인,0.3333,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",쓰기 해진
214,0,로그인,0.3333,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",동도
215,0,로그인,0.6289,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",UI UX 반응 속도
222,0,로그인,0.3333,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",현상
224,0,로그인,0.3333,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",상품 가시
225,0,로그인,0.3333,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",구식 얼마 은행 카드 형식
228,0,로그인,0.6638,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",로그인
231,0,로그인,0.7648,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",인증서 UI 그지 대학교 실습 작품
232,0,로그인,0.3333,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",업무
233,0,로그인,0.3333,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",일주일
235,0,로그인,0.3333,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",분노 유발이 목적 대상
236,0,로그인,0.7659,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",제가 리뷰 개발자 의심
241,0,로그인,0.7775,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",금융인증서 등록 3년
243,0,로그인,0.6638,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",로그인 로딩 유지 보수
244,0,로그인,0.888,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",로그인 ID 로그인 로그인 필요 로그인 안내 마찬가지 불가 쓸모
245,0,로그인,0.6291,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",UI
252,0,로그인,0.3333,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",긴급 조치
254,0,로그인,0.3333,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",로딩
260,0,로그인,0.3333,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",해도 해도
263,0,로그인,0.6665,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",공동인증서
266,0,로그인,0.667,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",은행 증권사 금융인증서 이체 오픈 뱅킹 업체 일련번호 필요 스마트 OTP 일련번호 이체 절차
267,0,로그인,0.8661,"로그인,등록,공동인증서,인증서,타기관,갱신,필요,금융인증서,인증,거지",리뷰 리뷰 바이오인증 등록 인증 ID 로만 로그인
